camera,duration,detections,annotations
20230913T135722/basler_halfres,855.5073800086975,14681,0
20230914T105046/basler_halfres,29.188154935836792,353,0
20230914T101906/basler_halfres,105.86803197860718,3140,0
20230913T155108/basler_halfres,73.56372594833374,1130,0
20230914T100745/basler_halfres,267.6291139125824,5287,0
20230914T130250/basler_halfres,245.0652220249176,1286,0
20230914T105826/basler_halfres,60.90347504615784,1345,0
20230914T153103/basler_halfres,96.75870609283447,2025,0
20230914T115735/basler_halfres,83.97627711296082,1406,0
20230913T143115/basler_halfres,349.6788589954376,7596,0
20230913T160343/basler_halfres,474.47627782821655,10311,7
20230914T144953/basler_halfres,35.55356192588806,529,0
20230914T140100/basler_halfres,240.36121702194214,2218,0
20230913T130134/basler_halfres,485.82753896713257,11323,0
20230914T105646/basler_halfres,51.75206685066223,678,0
20230913T161357/basler_halfres,24.338638067245483,192,0
20230914T154521/basler_halfres,30.964585065841675,1013,0
20230913T154746/basler_halfres,147.09649395942688,1363,0
20230913T131221/basler_halfres,139.67579984664917,3168,10
20230913T161223/basler_halfres,7.889004945755005,62,0
20230914T120359/basler_halfres,128.79405999183655,2204,6
20230914T104758/basler_halfres,123.69679403305054,2380,0
20230914T144746/basler_halfres,122.15934300422668,3011,0
20230914T152111/basler_halfres,459.8280041217804,12447,0
20230914T100153/basler_halfres,279.93239188194275,6699,0
20230914T150547/basler_halfres,832.338604927063,20808,18
20230914T145241/basler_halfres,396.8639030456543,15541,15
20230913T153743/basler_halfres,135.88661003112793,2966,0
20230913T135423/basler_halfres,122.15864300727844,1918,9
20230914T135821/basler_halfres,103.19111108779907,411,0
20230913T152454/basler_halfres,222.36251997947693,2993,0
20230913T161508/basler_halfres,493.725790977478,6082,8
20230914T104014/basler_halfres,79.2076518535614,3495,46
20230914T112235/basler_halfres,129.57492399215698,573,0
20230913T155753/basler_halfres,38.97447180747986,804,0
20230913T143811/basler_halfres,377.7586569786072,4584,10
20230913T151041/basler_halfres,9.472403049468994,65,0
20230914T155421/basler_halfres,347.14789605140686,17029,16
20230914T131358/basler_halfres,38.85206699371338,152,0
20230914T113930/basler_halfres,83.34675216674805,2497,36
20230914T145949/basler_halfres,63.59793519973755,1527,0
20230914T110223/basler_halfres,242.8611559867859,2682,0
20230913T120236/basler_halfres,295.2425789833069,1957,56
20230913T111502/basler_halfres,45.57756495475769,137,0
20230914T114347/basler_halfres,58.755553007125854,463,0
20230913T154257/basler_halfres,127.84712505340576,1961,0
20230914T102734/basler_halfres,11.04436707496643,145,0
20230914T120218/basler_halfres,67.25387406349182,3388,4
20230914T114109/basler_halfres,90.60550308227539,151,0
20230914T115906/basler_halfres,66.14912796020508,592,0
20230913T131002/basler_halfres,131.47402715682983,2303,0
20230914T104356/basler_halfres,204.51550197601318,4557,0
20230913T155925/basler_halfres,146.6231780052185,2571,0
20230914T112820/basler_halfres,32.977989196777344,628,0
20230913T153432/basler_halfres,70.261794090271,534,0
20230913T131944/basler_halfres,666.6594171524048,12864,50
20230914T101347/basler_halfres,154.6210069656372,4561,0
20230914T132437/basler_halfres,342.5754029750824,3153,0
20230914T114915/basler_halfres,253.1171579360962,3160,19
20230913T161143/basler_halfres,14.83122205734253,291,0
20230914T154240/basler_halfres,39.33521795272827,1840,0
20230914T154632/basler_halfres,357.40943813323975,15216,16
20230914T144141/basler_halfres,49.741029024124146,987,0
20230914T101807/basler_halfres,24.77096915245056,378,0
20230913T131619/basler_halfres,81.41551899909973,2620,88
20230913T154115/basler_halfres,55.42099404335022,938,0
20230914T112922/basler_halfres,244.14340806007385,2155,0
20230914T115348/basler_halfres,116.32161116600037,393,0
20230913T115738/basler_halfres,34.280295848846436,130,0
20230914T154415/basler_halfres,59.8377890586853,2485,0
20230914T113418/basler_halfres,54.4736590385437,566,0
20230913T115119/basler_halfres,5.837877035140991,10,0
20230914T102858/basler_halfres,460.27055191993713,23611,11
20230914T130936/basler_halfres,209.25510787963867,998,40
20230914T141043/basler_halfres,208.95935702323914,2609,65
