videosets,camera,experiments,use tensorrt,confidence
leusderheide_20230705,visual_halfres/CPFS7_0295,proposed,True,0.23
leusderheide_20230705,visual_halfres/CPFS7_0295,clipped,True,0.23
leusderheide_20230705,visual_halfres/CPFS7_0296,proposed,True,0.23
leusderheide_20230705,visual_halfres/CPFS7_0296,clipped,True,0.23
leusderheide_20230705,visual_halfres/CPFS7_0297,proposed,True,0.23
leusderheide_20230705,visual_halfres/CPFS7_0297,clipped,True,0.23
leusderheide_20230705,visual_halfres/CPFS7_0298,proposed,True,0.23
leusderheide_20230705,visual_halfres/CPFS7_0298,clipped,True,0.23
leusderheide_20230705,visual_halfres/CPFS7_0299,proposed,True,0.23
leusderheide_20230705,visual_halfres/CPFS7_0299,clipped,True,0.23
leusderheide_20230705,visual_halfres/CPFS7_0300,proposed,True,0.23
leusderheide_20230705,visual_halfres/CPFS7_0300,clipped,True,0.23
leusderheide_20230705,visual_halfres/CPFS7_0301,proposed,True,0.23
leusderheide_20230705,visual_halfres/CPFS7_0301,clipped,True,0.23
leusderheide_20230705,visual_halfres/CPFS7_0302,proposed,True,0.23
leusderheide_20230705,visual_halfres/CPFS7_0302,clipped,True,0.23
leusderheide_20230705,visual_halfres/CPFS7_0303,proposed,True,0.23
leusderheide_20230705,visual_halfres/CPFS7_0303,clipped,True,0.23
leusderheide_20230705,visual_halfres/CPFS7_0304,proposed,True,0.23
leusderheide_20230705,visual_halfres/CPFS7_0304,clipped,True,0.23
leusderheide_20230705,visual_halfres/CPFS7_0305,proposed,True,0.23
leusderheide_20230705,visual_halfres/CPFS7_0305,clipped,True,0.23
leusderheide_20230705,visual_halfres/CPFS7_0306,proposed,True,0.23
leusderheide_20230705,visual_halfres/CPFS7_0306,clipped,True,0.23
leusderheide_20230705,visual_halfres/CPFS7_0307,proposed,True,0.23
leusderheide_20230705,visual_halfres/CPFS7_0307,clipped,True,0.23
leusderheide_20230705,visual_halfres/CPFS7_0308,proposed,True,0.23
